,trimestre,nomeBandeira,nomeFuncao,produto,modalidade,qtdCartoesEmitidos,qtdCartoesAtivos,qtdTransacoesNacionais,valorTransacoesNacionais,qtdTransacoesInternacionais,valorTransacoesInternacionais
118,20261,MasterCard,Crédito,Básico Internacional,Híbrido,29241854,7782457,92154735,11675370546.67,135203,19411549.39
119,20262,MasterCard,Pré-Pago,Básico Internacional,Co-branded,136,85,2,10.0,0,0.0
120,20262,Hipercard,Crédito,Platinum,Puro,2743,749,261,74469.14,1,0.01
121,20261,Bandeira própria,Crédito,Intermediário,Puro,154212,26688,2365840,652186667.59,0,0.0
122,20262,MasterCard,Crédito,Platinum,Híbrido,629005,418864,9499065,1798970277.18,145947,47808457.09
123,20261,MasterCard,Crédito,Premium,Puro,10966440,7778559,577383830,113245689197.36,11995933,5805874587.17
124,20262,VISA,Pré-Pago,Intermediário,Puro,25251,976,5189,319919.02,0,0.0
125,20262,MasterCard,Débito,Básico Internacional,Puro,44215642,10135612,391792113,25841334697.16,50577,11118855.77
126,20262,MasterCard,Crédito,Básico Nacional,Híbrido,7910460,919064,18118296,2589871768.51,22387,3173459.46
127,20261,MasterCard,Crédito,Intermediário,Híbrido,7501658,4922261,101075755,14634978998.85,107813,21904537.63
128,20261,Bandeira própria,Crédito,Outros,Puro,11765627,2148337,10393389,923513741.33,0,0.0
129,20262,Elo,Crédito,Básico Nacional,Co-branded,2116722,730001,6836181,1089798988.98,0,0.0
130,20261,Elo,Crédito,Intermediário,Puro,10202075,2900537,53030935,6400866140.56,26301,4728158.22
131,20261,Outras,Débito,Outros,Puro,3977274,1634284,33632411,3507647686.6,0,0.0
132,20262,VISA,Crédito,Premium,Puro,13246128,7636317,465619101,89013755950.61,7989683,3746419494.51
133,20262,MasterCard,Crédito,Premium,Híbrido,117507,92922,4830554,1384263566.64,199511,104764583.68
134,20262,VISA,Crédito,Premium,Híbrido,161519,129907,9326212,2603799486.49,402042,216006431.51
135,20261,MasterCard,Crédito,Básico Nacional,Híbrido,7790747,926694,17609389,2520382936.83,19258,2861066.25
136,20261,VISA,Débito,Básico Internacional,Puro,200977308,46766751,1227448947,74668778538.91,41919,8236895.56
137,20261,Elo,Débito,Básico Nacional,Puro,192155660,26044221,630463297,36218436375.45,0,0.0
138,20261,Elo,Pré-Pago,Corporativo,Puro,1013091,550825,2108873,131733969.04,0,0.0
139,20261,MasterCard,Débito,Outros,Puro,1063266,230674,6332686,338422824.37,3608,2771385.06
140,20261,MasterCard,Crédito,Premium,Co-branded,1894321,1533151,41097823,10793167464.78,1311644,605258069.83
141,20261,MasterCard,Débito,Platinum,Co-branded,2052775,508409,10914121,389679662.75,0,0.0
142,20262,VISA,Pré-Pago,Intermediário,Co-branded,77997,1907,9988,463939.9,0,0.0
143,20262,Outras,Débito,Corporativo,Puro,53861,27746,77906,7001970.33,0,0.0
144,20261,Outras,Crédito,Básico Internacional,Puro,1237035,468849,37066,4075844.27,0,0.0
145,20262,MasterCard,Pré-Pago,Platinum,Puro,11783605,4351921,165902640,7863518643.57,0,0.0
146,20261,Elo,Pré-Pago,Básico Internacional,Co-branded,545404,257551,1962705,126293803.6,1338,322577.44
147,20261,MasterCard,Débito,Premium,Híbrido,2818,1342,19954,2120498.97,0,0.0
148,20262,MasterCard,Crédito,Outros,Puro,1973510,471175,5964418,420517695.39,2165,1486606.65
149,20261,VISA,Crédito,Platinum,Puro,12445253,8425180,328850775,48161239201.49,2362113,581801234.58
150,20261,VISA,Crédito,Premium,Híbrido,155307,125152,7912750,2319618203.23,360628,209012262.27
151,20261,Bandeira própria,Pré-Pago,Outros,Puro,1810506,1357775,3236647,299260914.69,0,0.0
152,20261,Bandeira própria,Crédito,Básico Nacional,Co-branded,8827081,1510841,22746216,2568910909.25,0,0.0
153,20262,Elo,Crédito,Premium,Puro,389442,291430,13208160,2562176349.35,39396,15743858.62
154,20262,American Express,Crédito,Empresarial,Puro,33713,24817,1354713,918109447.69,46655,58128843.55
155,20262,Outras,Débito,Empresarial,Puro,26,6,7,1102.7,0,0.0
156,20261,American Express,Crédito,Platinum,Co-branded,14512,8960,258757,35616852.13,1395,596840.26
157,20261,VISA,Crédito,Básico Internacional,Puro,38185631,16169965,257713265,24325456015.08,747807,117034764.95
158,20262,VISA,Pré-Pago,Corporativo,Puro,1354516,500521,3765890,542585745.38,532574,128431049.81
159,20261,Elo,Crédito,Básico Nacional,Co-branded,2044369,752792,6720103,1024833354.67,0,0.0
160,20262,Bandeira própria,Crédito,Outros,Puro,11901550,2117170,11106588,1022641533.5,0,0.0
161,20261,Elo,Crédito,Empresarial,Puro,387459,239452,6838607,3212252408.06,25859,13699344.61
162,20261,MasterCard,Débito,Básico Internacional,Puro,41244125,10105714,386487815,25229932424.09,42952,10443703.88
163,20262,MasterCard,Crédito,Básico Internacional,Híbrido,30752068,7752634,96625269,12379301130.14,159983,22021083.6
164,20261,Elo,Crédito,Empresarial,Co-branded,2140,2018,25047,5750366.91,0,0.0
165,20262,VISA,Crédito,Corporativo,Puro,697908,330351,7603532,3691702937.02,537418,475780408.29
166,20261,MasterCard,Crédito,Básico Internacional,Co-branded,5184537,1322861,14795606,1981994238.63,41428,6117281.53
167,20261,Elo,Débito,Básico Internacional,Puro,679346,511526,2270403,129652561.42,3,361.34
168,20261,Hipercard,Crédito,Intermediário,Puro,389,12,1,0.01,1,0.01
169,20262,MasterCard,Pré-Pago,Básico Internacional,Puro,6641296,2571013,33202436,1496743409.77,337634,30094901.62
170,20262,Elo,Crédito,Básico Internacional,Co-branded,828656,61346,763676,69733675.8,169,25465.14
171,20262,MasterCard,Débito,Empresarial,Co-branded,566920,87817,1984710,101240479.56,0,0.0
172,20261,Elo,Pré-Pago,Outros,Puro,3933073,2300254,15946891,1208565154.49,0,0.0
173,20262,Elo,Crédito,Empresarial,Co-branded,1882,1847,24325,5361611.61,0,0.0
174,20261,Elo,Crédito,Corporativo,Puro,198237,109752,551124,161905237.07,1117,771536.81
175,20262,American Express,Crédito,Corporativo,Puro,56527,43072,1198201,1102506500.55,112024,142372300.04
176,20261,Elo,Débito,Básico Nacional,Co-branded,225181,134644,337883,38595063.62,0,0.0
177,20261,MasterCard,Crédito,Platinum,Puro,25253412,15820837,666065091,83880068608.66,5011242,902002139.69
178,20261,VISA,Crédito,Platinum,Co-branded,395106,327994,19125437,3406980814.04,295094,74190371.71
179,20261,Elo,Débito,Empresarial,Puro,1108694,284960,7822569,924809516.23,0,0.0
180,20261,MasterCard,Pré-Pago,Básico Internacional,Co-branded,87,7,2,126.89,0,0.0
181,20261,MasterCard,Crédito,Básico Internacional,Puro,65657409,11513246,146092216,15281008129.62,579476,85351187.67
182,20262,VISA,Débito,Básico Internacional,Co-branded,6265,1316,15623,1607938.08,0,0.0
183,20261,VISA,Crédito,Corporativo,Puro,704689,329571,6594111,3022051955.85,402021,401023898.45
184,20262,MasterCard,Débito,Básico Internacional,Co-branded,1396043,49439,854471,37760472.44,0,0.0
185,20261,MasterCard,Crédito,Outros,Puro,2943030,574159,8345932,494525760.46,1665,695873.98
186,20262,MasterCard,Crédito,Corporativo,Híbrido,11612091,3463239,34812007,2142833020.23,631533,52621597.2
187,20262,MasterCard,Débito,Platinum,Co-branded,3410059,760695,16002116,593962278.37,0,0.0
188,20261,MasterCard,Crédito,Premium,Híbrido,112019,90656,4188830,1266682297.7,177605,100709253.15
189,20261,VISA,Pré-Pago,Premium,Puro,6928,3492,211921,15521785.48,88,12797.05
190,20261,VISA,Débito,Premium,Puro,1857712,1124195,39326238,3408775591.03,89140,21862974.27
191,20261,MasterCard,Crédito,Empresarial,Híbrido,24497,24497,409662,156248451.19,9695,5455115.23
192,20262,MasterCard,Crédito,Corporativo,Puro,2612179,965845,10101283,6162983408.88,627984,629225244.46
193,20262,VISA,Crédito,Intermediário,Puro,21545126,11277857,341922183,40783293638.68,1406784,235762935.09
194,20261,MasterCard,Crédito,Corporativo,Co-branded,2706,561,14961,5003197.1,826,1099958.28
195,20261,VISA,Pré-Pago,Básico Internacional,Co-branded,868450,23472,459658,20001748.01,58,6289.66
196,20262,MasterCard,Crédito,Intermediário,Co-branded,62448748,35871261,180693188,19387630185.72,583292,67390828.28
197,20261,Elo,Pré-Pago,Básico Internacional,Puro,494675,5401,242467,18455288.85,2,158.16
198,20262,MasterCard,Débito,Premium,Puro,459904,199295,4946739,417883707.4,830,425317.04
199,20262,VISA,Débito,Empresarial,Puro,3979514,1257352,39981806,3699163289.05,9927,1621758.51
200,20262,VISA,Pré-Pago,Premium,Puro,14813,6053,303119,27296813.6,138,13287.39
201,20262,VISA,Pré-Pago,Platinum,Puro,805122,240126,1846135,79323323.6,352,47418.5
202,20261,American Express,Crédito,Básico Nacional,Puro,32605,24741,470619,72045343.15,2067,729255.88
203,20262,MasterCard,Débito,Platinum,Híbrido,8803,3861,59017,6188777.33,3,3064.1
204,20261,VISA,Pré-Pago,Outros,Puro,12470032,2342175,27627105,1928923959.79,92796,14168508.56
205,20262,VISA,Débito,Básico Nacional,Puro,17606949,8126443,235357961,14531616756.38,7535,723631.01
206,20262,VISA,Crédito,Básico Internacional,Co-branded,15428810,4126333,31726057,3999210113.86,88621,10630326.43
207,20262,American Express,Crédito,Premium,Co-branded,30847,20364,411261,103316924.33,10140,14234518.31
208,20261,Elo,Crédito,Outros,Puro,327901,263510,11854794,2926418579.02,50303,23684622.52
209,20261,MasterCard,Crédito,Básico Nacional,Puro,3903821,1250240,26466811,2529503276.86,12337,1210458.98
210,20262,VISA,Pré-Pago,Outros,Puro,12251044,2275636,23703645,1897832625.8,83055,10392200.37
211,20262,VISA,Pré-Pago,Empresarial,Puro,3203788,819129,8191225,644364277.86,34273,3659009.41
212,20261,MasterCard,Crédito,Corporativo,Puro,1618515,631367,9590270,5382721973.24,559744,578071208.63
213,20261,VISA,Crédito,Empresarial,Puro,5034878,2711058,61733081,19906388454.61,844571,574029930.92
214,20261,MasterCard,Crédito,Platinum,Híbrido,616672,411458,9064902,1785289638.47,135246,49472042.39
215,20262,Elo,Débito,Básico Nacional,Puro,195715703,26384370,659260641,38356667712.08,0,0.0
216,20262,VISA,Crédito,Básico Nacional,Puro,7066028,5804828,176563664,18538073144.73,414122,105030459.42
217,20262,MasterCard,Crédito,Básico Nacional,Puro,5800745,1823141,22464953,2131319850.01,23596,2764453.2
218,20261,MasterCard,Pré-Pago,Básico Nacional,Puro,2402881,113978,1451944,87316586.44,3185,220864.76
219,20262,VISA,Débito,Platinum,Puro,9151876,3481175,36758437,3030339948.68,2034463,327465182.62
220,20262,MasterCard,Débito,Intermediário,Híbrido,196364,75820,820001,73553516.56,0,0.0
221,20261,Hipercard,Crédito,Platinum,Puro,2935,826,69,51702.86,1,0.01
222,20262,VISA,Crédito,Intermediário,Co-branded,36440412,25005225,262209009,36211100160.61,666971,111891884.06
223,20262,MasterCard,Crédito,Intermediário,Puro,105181882,41494204,1167079769,113984510186.88,7877612,899703325.61
224,20262,VISA,Crédito,Básico Internacional,Puro,38605966,16107205,255859588,24088142065.24,761608,116630875.58
225,20262,MasterCard,Crédito,Empresarial,Híbrido,25476,25231,449760,177293942.52,13359,6710731.1
226,20262,MasterCard,Débito,Premium,Híbrido,2990,1388,18939,1995591.31,0,0.0
227,20261,Elo,Pré-Pago,Empresarial,Puro,327734,132013,2593906,240993443.34,0,0.0
228,20262,VISA,Crédito,Platinum,Híbrido,809464,473139,14886852,2741364749.88,239361,79175623.36
229,20262,MasterCard,Débito,Intermediário,Puro,88186987,44339549,993890289,47128802945.16,36220,8428220.16
230,20261,MasterCard,Débito,Platinum,Híbrido,8191,3611,56124,5917352.97,0,0.0
231,20261,MasterCard,Pré-Pago,Corporativo,Puro,1880355,98631,109150,5902236.92,0,0.0
232,20261,American Express,Crédito,Intermediário,Puro,302476,228566,8702088,1516573670.44,64284,32004484.98
233,20262,VISA,Crédito,Básico Nacional,Híbrido,507171,40360,1246634,175814197.89,414,38146.42
234,20261,VISA,Crédito,Platinum,Híbrido,763646,446358,13695960,2604405795.28,221364,80885738.36
235,20262,VISA,Débito,Básico Nacional,Co-branded,302897,272608,762545,10281143.9,0,0.0
236,20262,Bandeira própria,Pré-Pago,Outros,Puro,1847926,1351891,3359594,334368039.39,0,0.0
237,20261,VISA,Débito,Básico Internacional,Híbrido,334841,9582,8507,388221.65,0,0.0
238,20261,American Express,Crédito,Premium,Co-branded,31803,21254,436333,108256694.24,10961,19455580.35
239,20261,MasterCard,Crédito,Corporativo,Híbrido,10838555,3431700,45577740,2681955130.36,557080,40620832.17
240,20262,MasterCard,Débito,Outros,Puro,1112997,240869,6713988,356608974.72,4216,2065784.54
241,20261,VISA,Pré-Pago,Platinum,Puro,654946,216446,1562699,67796956.08,503,77572.83
242,20261,MasterCard,Crédito,Platinum,Co-branded,5232864,3933986,44508468,6107266640.84,472267,105919496.54
243,20262,MasterCard,Crédito,Básico Internacional,Puro,65840139,11876992,142725804,15006090637.68,615815,86108781.23
244,20262,MasterCard,Crédito,Outros,Co-branded,1070940,12,3,47.61,0,0.0
245,20262,VISA,Crédito,Empresarial,Híbrido,15432,7431,77786,115952833.68,303,234940.73
246,20262,MasterCard,Crédito,Intermediário,Híbrido,7815709,5036106,103669570,14991070810.72,120409,23312957.66
247,20261,MasterCard,Débito,Premium,Co-branded,417062,116749,2094760,108577657.8,0,0.0
248,20262,MasterCard,Crédito,Corporativo,Co-branded,2263,434,18854,5393381.94,2561,3763762.25
249,20261,MasterCard,Débito,Platinum,Puro,1833885,520304,15795445,1065750226.81,490,182494.17
250,20262,MasterCard,Pré-Pago,Empresarial,Puro,6382610,1217024,68616753,3987391132.26,59,5764.84
251,20261,MasterCard,Crédito,Básico Nacional,Co-branded,11863274,107520,2452198,317473510.25,92,53525.94
252,20262,Elo,Crédito,Outros,Puro,336854,268759,11725568,2806021474.57,55558,19197060.38
253,20261,VISA,Crédito,Intermediário,Puro,23246078,12091446,382288012,45068044803.5,1500483,257930462.16
254,20261,MasterCard,Crédito,Empresarial,Puro,10779018,4186780,90421814,25885189057.11,1819656,990509470.79
255,20261,MasterCard,Pré-Pago,Outros,Puro,1963472,123558,1639310,166699467.38,15376,1966561.29
256,20262,Elo,Débito,Empresarial,Puro,1197675,283548,8094442,971280383.08,0,0.0
257,20261,Elo,Crédito,Básico Nacional,Puro,4907686,2875522,94801500,10623319890.45,100644,30517575.3
258,20262,MasterCard,Crédito,Premium,Co-branded,2231036,1856067,46498141,11798421028.76,1625556,642959667.55
259,20261,Outras,Crédito,Outros,Puro,8623964,5827408,269051687,7244325131.67,0,0.0
